isbn,original_title,author,original_publication_year,num_pages,genres,image_url,avg_rating,similar_books
1595544941,House of Dark Shadows,Robert Liparulo,2008,,"young-adult, fantasy, paranormal, mystery, thriller, crime, fiction, children",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,3.9,
031234872X,A Total Waste of Makeup,Kim Gruenenfelder,2005,,"fiction, romance",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,3.7,
446363251,Scarlett: The Sequel to Margaret Mitchell's Gone With the Wind,Alexandra Ripley,1991,,"fiction, history, historical fiction, biography, romance",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,3.4,
,The Edge of Us,Veronica Larsen,2017,,"romance, mystery, thriller, crime, fiction",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,4,
,Born in Fire,K.F. Breene,2017,,"fantasy, paranormal, romance, fiction, mystery, thriller, crime, young-adult",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,4.1,
399154450,Sizzle and Burn,Jayne Ann Krentz,2008,,"romance, fantasy, paranormal, mystery, thriller, crime, fiction",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,4,
374360960,The Pout-Pout Fish,Deborah Diesen,2008,,"children, poetry, fiction, fantasy, paranormal",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,4.3,
452283868,Sula,Toni Morrison,1973,,"fiction, history, historical fiction, biography",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,3.9,
,3:00 a.m.,Nick Pirog,2013,,"mystery, thriller, crime, fiction, fantasy, paranormal, romance",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,3.9,
312956738,Knots & Crosses,Ian Rankin,1987,,"mystery, thriller, crime, fiction",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,3.8,
61001783,Cotillion,Georgette Heyer,1953,,"romance, fiction, history, historical fiction, biography",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,4,
312987625,Midnight Pleasures,Amanda Ashley,2003,,"fantasy, paranormal, romance, fiction, history, historical fiction, biography",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,4.2,
723247714,The Tale of Squirrel Nutkin,Beatrix Potter,1903,,"children, fiction, fantasy, paranormal, young-adult",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,4,
,Blood Lines,Angela Marsons,2016,,"mystery, thriller, crime, fiction",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,4.5,
,Worth the Fall,Bria Quinlan,2014,,"romance, fiction, young-adult",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,4,
1400095417,The Promise,Chaim Potok,1969,,"fiction, history, historical fiction, biography, young-adult",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,4.1,
743497295,Two Little Girls in Blue,Mary Higgins Clark,2006,,"mystery, thriller, crime, fiction, romance, children, fantasy, paranormal",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,3.8,
,Saint,A. Zavarelli,2016,,"romance, mystery, thriller, crime, fiction",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,4.2,
61187844,The Post-Birthday World,Lionel Shriver,2007,,"fiction, romance",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,3.5,
743281640,Chasing Darkness,Robert Crais,2008,,"mystery, thriller, crime, fiction",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,4.2,
312283784,Alice's Tulips,Sandra Dallas,2000,,"fiction, history, historical fiction, biography, mystery, thriller, crime, romance",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,3.8,
553805541,The God of the Hive,Laurie R. King,2010,,"mystery, thriller, crime, fiction, history, historical fiction, biography",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,4.2,
034548701X,In the Dark of the Night,John Saul,2006,,"fiction, mystery, thriller, crime, fantasy, paranormal, history, historical fiction, biography",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,3.9,
,House,Frank E. Peretti,2006,,"fiction, mystery, thriller, crime, fantasy, paranormal, young-adult",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,3.6,
743484908,Measure for Measure,William Shakespeare,1603,,"fiction, poetry, romance, history, historical fiction, biography",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,3.7,
312868332,The Tooth Fairy,Graham Joyce,1996,,"fantasy, paranormal, fiction, young-adult, mystery, thriller, crime",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,3.8,
1426450168,The Return of Tarzan,Edgar Rice Burroughs,1913,,"fantasy, paranormal, fiction, romance, history, historical fiction, biography, young-adult, mystery, thriller, crime, children",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,3.8,
345438205,3001: The Final Odyssey,Arthur C. Clarke,1997,,"fiction, fantasy, paranormal",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,3.5,
,Stripped Bear,Kate Baxter,2015,,"fantasy, paranormal, romance",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,3.5,
1591828791,kadokiyaputasakura 2 [Cardcaptor Sakura 2],CLAMP,1997,,"fantasy, paranormal, comics, graphic, romance, fiction, young-adult, children, mystery, thriller, crime",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,4.3,
812975936,Summer Crossing,Truman Capote,2005,142,"fiction, romance",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,3.4,
60759968,Little Altars Everywhere,Rebecca Wells,1992,288,"fiction, history, historical fiction, biography",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,3.6,
